ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:hasViolationType,OFB:hasActionType,82.76,"The type of violation reported (e.g., Spam, Harassment).","Specifies the type of action performed by the user, such as EditProfile, EnableTwoFactorAuth, or RequestAccountDeletion."
OSN:hasEventUpdateTimestamp,OFB:hasLastUpdatedTimestamp,82.61,The timestamp when the event was last updated.,Records the last updated timestamp of the community rule.
OSN:hasMessageViewTimestamp,OFB:hasMessageIP,82.5,Timestamp of when a message was viewed by the user.,Represents the IP address used during direct messaging.
OSN:hasEditTimestamp,OFB:hasReportTimestamp,82.35,The timestamp of the last edit made to the avatar.,Records the timestamp when the report was filed.
OSN:hasLogoutTimestamp,OFB:hasMuteTimestamp,82.35,Timestamp indicating when the logout occurred.,Records the timestamp when a topic or user was muted.
OSN:hasPostTimestamp,OFB:hasBlocksTimestamp,82.35,Stores post's timestamp,Specifies when a user blocked another user.
OSN:hasPostTimestamp,OFB:hasLogoutTimestamp,82.35,Stores post's timestamp,The date and time when the session was logged out.
OSN:hasReelWatchTimestamp,OFB:hasSearchTimestamp,82.05,Timestamp of when the reel was watched.,Records the timestamp of a search query.
OSN:hasBio,OFB:hasBookmarkTimestamp,81.82,Stores the biography or short description of the user.,Records the timestamp when content was bookmarked.
OSN:hasBirthday,OFB:hasBio,81.82,The birthday of the child.,The bio of the user.
OSN:hasBirthdayPostTimestamp,OFB:hasBio,81.82,The timestamp when the birthday post was created.,The bio of the user.
OSN:hasFileType,OFB:hasRuleType,81.82,"The type of the file (e.g., PDF, Image).","Defines the type of rule (e.g., Content, Behavior)."
OSN:hasGroupName,OFB:hasGroupMessageContent,81.82,The name of the group.,Represents the content of a group message.
OSN:hasGroupName,OFB:hasGroupMessageFrequency,81.82,The name of the group.,Indicates the frequency of messages within the group chat.
OSN:hasInboxAccessTimestamp,OFB:hasTimestamp,81.82,Timestamp for accessing the support inbox.,Records the date and time when the user action was performed.
OSN:hasMessageAttachment,OFB:hasMessageIP,81.82,Attachment on direct messages sent by the user.,Represents the IP address used during direct messaging.
OSN:hasMessageContentType,OFB:hasMessageIP,81.82,"Specifies the type of content in the message, e.g., text, photo, video.",Represents the IP address used during direct messaging.
OSN:hasMessageLocation,OFB:hasMessageIP,81.82,Location on direct messages sent by the user.,Represents the IP address used during direct messaging.
OSN:hasMessageSendTimestamp,OFB:hasMessageIP,81.82,Timestamp of when a text message was sent.,Represents the IP address used during direct messaging.
OSN:hasMessageSentTimestamp,OFB:hasMessageIP,81.82,The timestamp when a message was sent to the seller.,Represents the IP address used during direct messaging.
OSN:hasNotificationTimestamp,OFB:hasDonationTimestamp,81.82,Stores the timestamp when the video notification was received.,Specifies the timestamp of the donation.
OSN:hasPollCreationTimestamp,OFB:hasDonationTimestamp,81.82,The timestamp when the poll was created.,Specifies the timestamp of the donation.
OSN:hasPostCreationTimestamp,OFB:hasDonationTimestamp,81.82,The timestamp when the avatar post was created.,Specifies the timestamp of the donation.
OSN:hasReelWatchTimestamp,OFB:hasTimestamp,81.82,Timestamp of when the reel was watched.,Records the date and time when the user action was performed.
OSN:hasSupportAccessTimestamp,OFB:hasTimestamp,81.82,Timestamp for accessing the support center.,Records the date and time when the user action was performed.
OSN:hasTimestamp,OFB:hasBlocksTimestamp,81.82,Stores the timestamp when the like was given.,Specifies when a user blocked another user.
OSN:hasTimestamp,OFB:hasScheduledPublishTimestamp,81.82,Stores the timestamp when the like was given.,Timestamp indicating when the scheduled post will be published.
OSN:hasTimestamp,OFB:hasSearchTimestamp,81.82,Stores the timestamp when the like was given.,Records the timestamp of a search query.
OSN:hasPollCreationTimestamp,OFB:hasQueueCreationTimestamp,81.63,The timestamp when the poll was created.,Records the timestamp when the moderation queue was created.
OSN:hasPostCreationTimestamp,OFB:hasQueueCreationTimestamp,81.63,The timestamp when the avatar post was created.,Records the timestamp when the moderation queue was created.
OSN:hasEditTimestamp,OFB:hasJoinTimestamp,81.25,The timestamp of the last edit made to the avatar.,Records the timestamp of when a user joined the community.
OSN:hasEditTimestamp,OFB:hasLikeTimestamp,81.25,The timestamp of the last edit made to the avatar.,Records the timestamp when a like was made.
OSN:hasEditTimestamp,OFB:hasMuteTimestamp,81.25,The timestamp of the last edit made to the avatar.,Records the timestamp when a topic or user was muted.
OSN:hasPostTimestamp,OFB:hasJoinTimestamp,81.25,Stores post's timestamp,Records the timestamp of when a user joined the community.
OSN:hasPostTimestamp,OFB:hasMuteTimestamp,81.25,Stores post's timestamp,Records the timestamp when a topic or user was muted.
OSN:hasEventDescription,OFB:hasRuleDescription,81.08,The description of the event.,Provides a textual description of a specific community rule.
OSN:hasEventEndTimestamp,OFB:hasLeaveTimestamp,81.08,The timestamp when the event ends.,Specifies the timestamp when a user left the group chat.
OSN:hasGameSaveTimestamp,OFB:hasShareTimestamp,81.08,The timestamp when the game was saved.,Records the timestamp when content was shared.
OSN:hasPostVisibility,OFB:hasProfileVisibility,81.08,"The visibility level of the avatar post (e.g., Public, Private).",Specifies whether the user's profile is Public or Private.
OSN:hasGameSaveTimestamp,OFB:hasDraftSavedTimestamp,80.95,The timestamp when the game was saved.,Timestamp of when the draft was saved.
OSN:hasEditTimestamp,OFB:hasCommentTimestamp,80,The timestamp of the last edit made to the avatar.,Records the timestamp when a comment was made.
OSN:hasEventCreationTimestamp,OFB:hasDonationTimestamp,80,The timestamp when the event was created.,Specifies the timestamp of the donation.
OSN:hasFileUploadTimestamp,OFB:hasFollowTimestamp,80,The timestamp when the file was uploaded.,Records the timestamp when a user started following a topic.
OSN:hasGroupCreationTimestamp,OFB:hasDonationTimestamp,80,The creation timestamp of the group.,Specifies the timestamp of the donation.
OSN:hasLogoutTimestamp,OFB:hasBlockTimestamp,80,Timestamp indicating when the logout occurred.,Records the timestamp when a user was blocked.
OSN:hasLogoutTimestamp,OFB:hasTimestamp,80,Timestamp indicating when the logout occurred.,Records the date and time when the user action was performed.
OSN:hasMessageViewTimestamp,OFB:hasLeaveTimestamp,80,Timestamp of when a message was viewed by the user.,Specifies the timestamp when a user left the group chat.
OSN:hasNotificationStatus,OFB:hasNotificationType,80,Indicates whether the video notification is active or inactive.,"Specifies the type of community notifications, such as Post or Comment."
OSN:hasPlayerName,OFB:hasFlairName,80,The name of the player.,Specifies the name of the flair tag used.
OSN:hasPostCount,OFB:hasVotesCount,80,The number of posts on the page.,Represents the total number of votes for a content item.
OSN:hasPostTimestamp,OFB:hasCommentTimestamp,80,Stores post's timestamp,Records the timestamp when a comment was made.
OSN:hasPostTimestamp,OFB:hasPostCreationTimestamp,80,Stores post's timestamp,Timestamp of when the post was created.
OSN:hasReportTimestamp,OFB:hasShareTimestamp,80,Timestamp for submitting a problem report.,Records the timestamp when content was shared.
OSN:hasReportTimestamp,OFB:hasTimestamp,80,Timestamp for submitting a problem report.,Records the date and time when the user action was performed.
OSN:hasTimestamp,OFB:hasFollowTimestamp,80,Stores the timestamp when the like was given.,Records the timestamp when a user started following a topic.
OSN:hasTimestamp,OFB:hasLogoutTimestamp,80,Stores the timestamp when the like was given.,The date and time when the session was logged out.
OSN:hasTimestamp,OFB:hasReportTimestamp,80,Stores the timestamp when the like was given.,Records the timestamp when the report was filed.
OSN:hasTimestamp,OFB:hasUpvoteTimestamp,80,Stores the timestamp when the like was given.,Records the timestamp when an upvote was made.
OSN:hasViewCount,OFB:hasDraftViewsCount,80,The total number of views on the page.,Represents the number of views on a user's draft.
OSN:hasViewCount,OFB:hasVotesCount,80,The total number of views on the page.,Represents the total number of votes for a content item.
MP:hasCommentTimestamp,MCSS:hasCommentTimestamp,100,"The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        ",Records the timestamp when a comment interaction occurred.
MP:hasEmail,MCSS:hasEmail,100,Stores the email address associated with the user's account.,The email address associated with the user.
MP:hasPostDeviceInfo,MCSS:hasPostDeviceInfo,100,"
            Stores information about the device or app used to create the post
            (e.g., 'Twitter Web on MacBook Pro', 'Android App').
        ",Device information used to create the short video post.
MP:hasPostLocation,MCSS:hasPostLocation,100,"
            Geographical location or place the user tagged 
            (e.g., 'New York, USA').
        ",Location associated with the short video post.
MP:hasPostTags,MCSS:hasPostTags,100,"
            Contains hashtags, labels, or additional tags associated with the post.
            Useful for categorizing or searching content by topic.
        ",Tags associated with the short video post.
MP:hasPostURL,MCSS:hasPostURL,100,"
            Contains the public URL or permalink to the post, if available.
            Useful for referencing the post directly from an external link.
        ",URL of the short video post.
MP:hasSubscriptionStatus,MCSS:hasSubscriptionStatus,100,"Indicates the user's subscription status (e.g., premium, free).",Indicates whether the user has an active subscription.
MP:hasPrivacySetting,MCSS:hasPrivacySettings,97.14,"Specifies the user's privacy settings (e.g., public profile, private account).",Privacy settings defined by the user.
MP:hasDMTimestamp,MCSS:hasTimestamp,92.31,"
            The date and time when the DM was sent.
        ",Represents the timestamp of when the message was sent.
MP:hasNotificationsSetting,MCSS:hasNotificationSoundSetting,92,"Specifies the user's notifications settings (e.g., email notifications enabled).",Indicates the user's chosen notification sound setting.
MP:hasPostTimestamp,MCSS:hasReportTimestamp,88.24,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a report interaction occurred.
MP:hasCommentContent,MCSS:hasCommentCount,87.5,"
            Holds the main text/body of a comment posted by a user.
        ",Represents the number of comments on the video.
MP:hasListDescription,MCSS:hasDescription,87.5,Stores the description of the list.,Stores the description of the video.
MP:hasPostDeviceInfo,MCSS:hasDeviceInfo,86.67,"
            Stores information about the device or app used to create the post
            (e.g., 'Twitter Web on MacBook Pro', 'Android App').
        ",Stores the device information of the user device who gave a comment.
MP:hasListDescription,MCSS:hasShortDescription,86.49,Stores the description of the list.,Stores the description of the short video.
MP:hasPostTimestamp,MCSS:hasTimestamp,85.71,"
            Records the date and time when the post was created or published.
        ",Represents the timestamp of when the message was sent.
MP:hasScheduledTime,MCSS:hasPostScheduleTime,85.71,"
            If the post status is ""scheduled"", records the date and time
            when the post will be published.
        ",Specifies the scheduled time for the post to be published.
MP:hasPostInteractionIP,MCSS:hasUserInteractionIP,85,"
            Captures the IP address from which the user posted. 
            Useful for forensic tracing of post origin.
        ",Stores the IP information of the user device who gave a comment.
MP:hasPostInteractionIP,MCSS:hasPostIP,84.71,"
            Captures the IP address from which the user posted. 
            Useful for forensic tracing of post origin.
        ",IP address used to create the short video post.
MP:hasLocation,MCSS:hasLiveLocation,84.62,Indicates the user's location as shown on their profile.,Represents the location associated with the live session.
MP:hasLocation,MCSS:hasPostLocation,84.62,Indicates the user's location as shown on their profile.,Location associated with the short video post.
MP:hasPassword,MCSS:hasPasswordHash,84.62,Stores the password for the user's account.,Hashed password of the user.
MP:hasCommentContent,MCSS:hasCommentText,83.87,"
            Holds the main text/body of a comment posted by a user.
        ",Stores the text of a comment.
MP:hasPostStatus,MCSS:hasPostTags,83.33,"
            Indicates the publishing status of the post (e.g., ""draft"", ""scheduled"", or ""published"").
            Useful for distinguishing between different post states.
        ",Tags associated with the short video post.
MP:hasCommentIP,MCSS:hasCommentTimestamp,82.5,"
            The IP address of the device used to post the comment.
            Critical for digital forensics or geolocation.
        ",Records the timestamp when a comment interaction occurred.
MP:hasLocation,MCSS:hasVideoLocation,81.48,Indicates the user's location as shown on their profile.,Represents the location associated with the video.
MP:hasPostTimestamp,MCSS:hasGiftTimestamp,81.25,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a gift was sent during a live session.
MP:hasCreationDate,MCSS:hasAccountCreationDate,81.08,Indicates the creation date of the community.,The date and time when the user's account was created.
MP:hasCreationDate,MCSS:hasChannelCreationDate,81.08,Indicates the creation date of the community.,Date when the channel was created.
MP:hasRetweetTimestamp,MCSS:hasReportTimestamp,81.08,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.,Records the timestamp when a report interaction occurred.
MP:hasDMTimestamp,MCSS:hasGiftTimestamp,80,"
            The date and time when the DM was sent.
        ",Records the timestamp when a gift was sent during a live session.
MP:hasDMTimestamp,MCSS:hasLikeTimestamp,80,"
            The date and time when the DM was sent.
        ",Records the timestamp when a like interaction occurred.
MP:hasPostLocation,MCSS:hasPostURL,80,"
            Geographical location or place the user tagged 
            (e.g., 'New York, USA').
        ",URL of the short video post.
MP:hasPostTimestamp,MCSS:hasCommentTimestamp,80,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a comment interaction occurred.
MP:hasPostTimestamp,MCSS:hasPostIP,80,"
            Records the date and time when the post was created or published.
        ",IP address used to create the short video post.
MP:hasPostURL,MCSS:hasPostLocation,80,"
            Contains the public URL or permalink to the post, if available.
            Useful for referencing the post directly from an external link.
        ",Location associated with the short video post.
MP:hasBio,OFB:hasBio,100,Stores the bio or description on the user's profile.,The bio of the user.
MP:hasCommentTimestamp,OFB:hasCommentTimestamp,100,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        ",Records the timestamp when a comment was made.
MP:hasCommunityDescription,OFB:hasCommunityDescription,100,Provides a description of the community.,Provides a description for the community.
MP:hasCommunityName,OFB:hasCommunityName,100,Stores the name of the community.,Defines the name of the community.
MP:hasEmail,OFB:hasEmail,100,Stores the email address associated with the user's account.,The email address associated with the user account.
MP:hasMemberCount,OFB:hasMemberCount,100,Stores the number of members in the community.,Represents the total number of members in a community.
MP:hasPostContent,OFB:hasPostContent,100,"
            Main textual content or body of the post, 
            including any caption or message written by the user.
        ","Content of the post, typically text or markdown."
MP:hasPostMedia,OFB:hasPostMedia,100,"
            Holds the URL(s) or reference to media (images, videos, GIFs) 
            attached to the post.
        ","Media associated with the post, such as images, GIFs, or videos."
MP:hasDMTimestamp,OFB:hasTimestamp,92.31,"
            The date and time when the DM was sent.
        ",Records the date and time when the user action was performed.
MP:hasEmail,OFB:hasEmailFrequency,90,Stores the email address associated with the user's account.,Indicates the frequency of email notifications.
MP:hasEmail,OFB:hasEmailNotificationEnabled,90,Stores the email address associated with the user's account.,Indicates whether email notifications are enabled for a user.
MP:hasPostTimestamp,OFB:hasReportTimestamp,88.24,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when the report was filed.
MP:hasPostTimestamp,OFB:hasUpvoteTimestamp,88.24,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when an upvote was made.
MP:hasListDescription,OFB:hasDescription,87.5,Stores the description of the list.,Provides a description for the community.
MP:hasDMTimestamp,OFB:hasMuteTimestamp,86.67,"
            The date and time when the DM was sent.
        ",Records the timestamp when a topic or user was muted.
MP:hasSessionDuration,OFB:hasSessionID,86.09,Stores the duration of the live session.,Unique identifier for the session.
MP:hasPostTimestamp,OFB:hasTimestamp,85.71,"
            Records the date and time when the post was created or published.
        ",Records the date and time when the user action was performed.
MP:hasCommentContent,OFB:hasCommentsCount,84.85,"
            Holds the main text/body of a comment posted by a user.
        ",Represents the total number of comments for a content item.
MP:hasCommunityName,OFB:hasCommunityTheme,84.85,Stores the name of the community.,Defines the theme or aesthetic of the community.
MP:hasPassword,OFB:hasPasswordHash,84.62,Stores the password for the user's account.,The hashed password of the user.
MP:hasSubscriptionStatus,OFB:hasSubscriptionStartDate,84.44,"Indicates the user's subscription status (e.g., premium, free).",Records the start date of a user's subscription.
MP:hasPostTimestamp,OFB:hasAnonymousPostTimestamp,84,"
            Records the date and time when the post was created or published.
        ",Records the timestamp of when the anonymous post was created.
MP:hasCommentContent,OFB:hasCommentText,83.87,"
            Holds the main text/body of a comment posted by a user.
        ",Stores the text of a comment.
MP:hasDMTimestamp,OFB:hasAwardTimestamp,83.87,"
            The date and time when the DM was sent.
        ",Records the timestamp when an award was given.
MP:hasPostTimestamp,OFB:hasPinTimestamp,83.87,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a post was pinned.
MP:hasListDescription,OFB:hasRuleDescription,83.33,Stores the description of the list.,Provides a textual description of a specific community rule.
MP:hasPostContent,OFB:hasAnonymousPostContent,83.08,"
            Main textual content or body of the post, 
            including any caption or message written by the user.
        ",Defines the content of an anonymous post.
MP:hasDMTimestamp,OFB:hasPinTimestamp,82.76,"
            The date and time when the DM was sent.
        ",Records the timestamp when a post was pinned.
MP:hasCommentIP,OFB:hasCommentTimestamp,82.5,"
            The IP address of the device used to post the comment.
            Critical for digital forensics or geolocation.
        ",Records the timestamp when a comment was made.
MP:hasCreationDate,OFB:hasRegistrationDate,82.35,Indicates the creation date of the community.,"
            The date and time when the user registered on the platform.
            Useful for forensic timeline and account history.
        "
MP:hasPostTimestamp,OFB:hasBlocksTimestamp,82.35,"
            Records the date and time when the post was created or published.
        ",Specifies when a user blocked another user.
MP:hasPostTimestamp,OFB:hasLogoutTimestamp,82.35,"
            Records the date and time when the post was created or published.
        ",The date and time when the session was logged out.
MP:hasBio,OFB:hasBookmarkTimestamp,81.82,Stores the bio or description on the user's profile.,Records the timestamp when content was bookmarked.
MP:hasBirthDate,OFB:hasBio,81.82,Records the user's birth date displayed on their profile.,The bio of the user.
MP:hasBirthday,OFB:hasBio,81.82,Stores the user's birth date.,The bio of the user.
MP:hasBookmarkCount,OFB:hasBio,81.82,Stores the count of items saved in bookmarks.,The bio of the user.
MP:hasBookmarkDate,OFB:hasBio,81.82,Records the date and time when a bookmark was saved.,The bio of the user.
MP:hasDMDevice,OFB:hasDeviceID,81.82,"
            The device/app used to send this DM (e.g., 'Twitter Web', 'Android App').
        ",Represents the unique identifier of the notification device.
MP:hasPostMedia,OFB:hasAnonymousPostMedia,81.82,"
            Holds the URL(s) or reference to media (images, videos, GIFs) 
            attached to the post.
        ","Defines the media (e.g., images or videos) associated with an anonymous post."
MP:hasDMContent,OFB:hasDraftContent,81.48,"
            The text/body of the direct message.
        ","Content of the draft, typically text or markdown."
MP:hasPostTimestamp,OFB:hasJoinTimestamp,81.25,"
            Records the date and time when the post was created or published.
        ",Records the timestamp of when a user joined the community.
MP:hasPostTimestamp,OFB:hasMuteTimestamp,81.25,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a topic or user was muted.
MP:hasRetweetTimestamp,OFB:hasReportTimestamp,81.08,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.,Records the timestamp when the report was filed.
MP:hasScheduledTime,OFB:hasScheduledPostMedia,81.08,"
            If the post status is ""scheduled"", records the date and time
            when the post will be published.
        ","Media attachment for the scheduled post, such as an image or video."
MP:hasScheduledTime,OFB:hasScheduledPostTitle,81.08,"
            If the post status is ""scheduled"", records the date and time
            when the post will be published.
        ",Title of the scheduled post.
MP:hasCommentTimestamp,OFB:hasJoinTimestamp,80,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        ",Records the timestamp of when a user joined the community.
MP:hasCommentTimestamp,OFB:hasMuteTimestamp,80,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        ",Records the timestamp when a topic or user was muted.
MP:hasCreationDate,OFB:hasCommunityCreationDate,80,Indicates the creation date of the community.,Records the date and time the community was created.
MP:hasDMTimestamp,OFB:hasJoinTimestamp,80,"
            The date and time when the DM was sent.
        ",Records the timestamp of when a user joined the community.
MP:hasDMTimestamp,OFB:hasLikeTimestamp,80,"
            The date and time when the DM was sent.
        ",Records the timestamp when a like was made.
MP:hasMemberCount,OFB:hasActiveMembersCount,80,Stores the number of members in the community.,Represents the number of active members in a community.
MP:hasPostContent,OFB:hasCrosspostedContent,80,"
            Main textual content or body of the post, 
            including any caption or message written by the user.
        ",Content of the cross-posted content.
MP:hasPostTimestamp,OFB:hasCommentTimestamp,80,"
            Records the date and time when the post was created or published.
        ",Records the timestamp when a comment was made.
MP:hasPostTimestamp,OFB:hasPostCreationTimestamp,80,"
            Records the date and time when the post was created or published.
        ",Timestamp of when the post was created.
MP:hasRetweetTimestamp,OFB:hasMuteTimestamp,80,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.,Records the timestamp when a topic or user was muted.
MP:hasSubscriptionStatus,OFB:hasSubscriptionType,80,"Indicates the user's subscription status (e.g., premium, free).","Indicates the type of subscription (e.g., Free, Premium)."
MCSS:hasCommentText,OFB:hasCommentText,100,Stores the text of a comment.,Stores the text of a comment.
MCSS:hasCommentTimestamp,OFB:hasCommentTimestamp,100,Records the timestamp when a comment interaction occurred.,Records the timestamp when a comment was made.
MCSS:hasDescription,OFB:hasDescription,100,Stores the description of the video.,Provides a description for the community.
MCSS:hasEmail,OFB:hasEmail,100,The email address associated with the user.,The email address associated with the user account.
MCSS:hasLikeTimestamp,OFB:hasLikeTimestamp,100,Records the timestamp when a like interaction occurred.,Records the timestamp when a like was made.
MCSS:hasMessageStatus,OFB:hasMessageStatus,100,"Represents the status of the message, such as sent, delivered, or read.","Represents the status of a direct message (e.g., sent, delivered, read)."
MCSS:hasPasswordHash,OFB:hasPasswordHash,100,Hashed password of the user.,The hashed password of the user.
MCSS:hasPhoneNumber,OFB:hasPhoneNumber,100,The phone number associated with the user.,The phone number associated with the user account.
MCSS:hasRecommendationAlgorithm,OFB:hasRecommendationAlgorithm,100,Stores the algorithm used for generating recommendations.,Indicates the algorithm used to generate recommendations.
MCSS:hasReportReason,OFB:hasReportReason,100,Indicates the reason for reporting specific content.,"Specifies the reason for filing the report (e.g., Spam, Harassment, Policy Violation)."
MCSS:hasReportTimestamp,OFB:hasReportTimestamp,100,Records the timestamp when a report interaction occurred.,Records the timestamp when the report was filed.
MCSS:hasSearchKeyword,OFB:hasSearchKeyword,100,Stores the keyword used in a search action.,Stores the keyword used in a search query.
MCSS:hasShareTimestamp,OFB:hasShareTimestamp,100,Records the timestamp when a share interaction occurred.,Records the timestamp when content was shared.
MCSS:hasSubscriptionBenefits,OFB:hasSubscriptionBenefits,100,Describes the benefits associated with a subscription.,Describes the benefits included in the subscription.
MCSS:hasTimestamp,OFB:hasTimestamp,100,Represents the timestamp of when the message was sent.,Records the date and time when the user action was performed.
MCSS:hasUsername,OFB:hasUsername,100,The username chosen by the user.,The username of the user.
MCSS:hasCommentCount,OFB:hasCommentsCount,96.77,Represents the number of comments on the video.,Represents the total number of comments for a content item.
MCSS:hasViewCount,OFB:hasViewsCount,96,Represents the number of views the video has received.,Represents the total number of views for a content item.
MCSS:hasDislikeTimestamp,OFB:hasLikeTimestamp,91.43,Records the timestamp when a dislike interaction occurred.,Records the timestamp when a like was made.
MCSS:amount,OFB:hasDonationAmount,90,The amount donated in the SuperChat.,Specifies the amount donated.
MCSS:amount,OFB:hasRevenueAmount,90,The amount donated in the SuperChat.,Represents the total revenue generated from ads.
MCSS:donationTime,OFB:hasDonationTimestamp,90,The timestamp when the donation was made.,Specifies the timestamp of the donation.
MCSS:hasEmail,OFB:hasEmailFrequency,90,The email address associated with the user.,Indicates the frequency of email notifications.
MCSS:hasEmail,OFB:hasEmailNotificationEnabled,90,The email address associated with the user.,Indicates whether email notifications are enabled for a user.
MCSS:hasTimestamp,OFB:hasPinTimestamp,88.89,Represents the timestamp of when the message was sent.,Records the timestamp when a post was pinned.
MCSS:hasDescription,OFB:hasRuleDescription,87.5,Stores the description of the video.,Provides a textual description of a specific community rule.
MCSS:hasAccountCreationDate,OFB:hasCommunityCreationDate,86.96,The date and time when the user's account was created.,Records the date and time the community was created.
MCSS:hasGiftTimestamp,OFB:hasTimestamp,85.71,Records the timestamp when a gift was sent during a live session.,Records the date and time when the user action was performed.
MCSS:hasLikeTimestamp,OFB:hasTimestamp,85.71,Records the timestamp when a like interaction occurred.,Records the date and time when the user action was performed.
MCSS:hasReportTimestamp,OFB:hasReplyTimestamp,85.71,Records the timestamp when a report interaction occurred.,Records the timestamp when a reply was made.
MCSS:hasShareTimestamp,OFB:hasSearchTimestamp,85.71,Records the timestamp when a share interaction occurred.,Records the timestamp of a search query.
MCSS:hasTimestamp,OFB:hasJoinTimestamp,85.71,Represents the timestamp of when the message was sent.,Records the timestamp of when a user joined the community.
MCSS:hasTimestamp,OFB:hasLikeTimestamp,85.71,Represents the timestamp of when the message was sent.,Records the timestamp when a like was made.
MCSS:hasTimestamp,OFB:hasMuteTimestamp,85.71,Represents the timestamp of when the message was sent.,Records the timestamp when a topic or user was muted.
MCSS:hasLikeTimestamp,OFB:hasBlockTimestamp,84.85,Records the timestamp when a like interaction occurred.,Records the timestamp when a user was blocked.
MCSS:hasLikeTimestamp,OFB:hasLeaveTimestamp,84.85,Records the timestamp when a like interaction occurred.,Specifies the timestamp when a user left the group chat.
MCSS:hasShortDescription,OFB:hasDescription,84.85,Stores the description of the short video.,Provides a description for the community.
MCSS:hasPostIP,OFB:hasPostingRules,84.71,IP address used to create the short video post.,Specifies the rules for posting in the community.
MCSS:hasSubscriptionStatus,OFB:hasSubscriptionStartDate,84.44,Indicates whether the user has an active subscription.,Records the start date of a user's subscription.
MCSS:hasGiftTimestamp,OFB:hasPinTimestamp,83.87,Records the timestamp when a gift was sent during a live session.,Records the timestamp when a post was pinned.
MCSS:hasLikeTimestamp,OFB:hasPinTimestamp,83.87,Records the timestamp when a like interaction occurred.,Records the timestamp when a post was pinned.
MCSS:hasCommentCount,OFB:hasDraftCommentsCount,83.33,Represents the number of comments on the video.,Represents the number of comments on a user's draft.
MCSS:hasDeviceInfo,OFB:hasDeviceID,83.33,Stores the device information of the user device who gave a comment.,Represents the unique identifier of the notification device.
MCSS:hasReportTimestamp,OFB:hasUpvoteTimestamp,83.33,Records the timestamp when a report interaction occurred.,Records the timestamp when an upvote was made.
MCSS:hasShareTimestamp,OFB:hasMessageTimestamp,83.33,Records the timestamp when a share interaction occurred.,Specifies the timestamp of a direct message.
MCSS:hasTwoFactorAuthenticationStatus,OFB:hasTwoFactorAuthenticationEnabled,83.08,Status of two-factor authentication for the user (enabled/disabled).,Indicates if two-factor authentication is enabled for the user.
MCSS:hasSubscriptionBenefits,OFB:hasSubscriptionFee,82.93,Describes the benefits associated with a subscription.,Represents the subscription fee.
MCSS:hasShareTimestamp,OFB:hasTimestamp,82.76,Records the timestamp when a share interaction occurred.,Records the date and time when the user action was performed.
MCSS:hasTimestamp,OFB:hasAwardTimestamp,82.76,Represents the timestamp of when the message was sent.,Records the timestamp when an award was given.
MCSS:hasTimestamp,OFB:hasBlockTimestamp,82.76,Represents the timestamp of when the message was sent.,Records the timestamp when a user was blocked.
MCSS:hasTimestamp,OFB:hasLeaveTimestamp,82.76,Represents the timestamp of when the message was sent.,Specifies the timestamp when a user left the group chat.
MCSS:hasTimestamp,OFB:hasReplyTimestamp,82.76,Represents the timestamp of when the message was sent.,Records the timestamp when a reply was made.
MCSS:hasTimestamp,OFB:hasShareTimestamp,82.76,Represents the timestamp of when the message was sent.,Records the timestamp when content was shared.
MCSS:hasGiftTimestamp,OFB:hasLogoutTimestamp,82.35,Records the timestamp when a gift was sent during a live session.,The date and time when the session was logged out.
MCSS:hasLikeTimestamp,OFB:hasBlocksTimestamp,82.35,Records the timestamp when a like interaction occurred.,Specifies when a user blocked another user.
MCSS:hasShareTimestamp,OFB:hasAwardTimestamp,82.35,Records the timestamp when a share interaction occurred.,Records the timestamp when an award was given.
MCSS:hasShareTimestamp,OFB:hasLeaveTimestamp,82.35,Records the timestamp when a share interaction occurred.,Specifies the timestamp when a user left the group chat.
MCSS:hasShareTimestamp,OFB:hasReplyTimestamp,82.35,Records the timestamp when a share interaction occurred.,Records the timestamp when a reply was made.
MCSS:hasGroupMessageCreatedTimestamp,OFB:hasGroupName,81.82,Represents the timestamp when the group message thread was created.,Represents the name of the group chat.
MCSS:hasGroupMessageLastActivity,OFB:hasGroupName,81.82,Represents the timestamp of the last activity in the group message thread.,Represents the name of the group chat.
MCSS:hasGroupMessageTitle,OFB:hasGroupName,81.82,Represents the title of a group message thread.,Represents the name of the group chat.
MCSS:hasMessageReaction,OFB:hasMessageIP,81.82,Represents an array of emojis reacting to the message.,Represents the IP address used during direct messaging.
MCSS:hasTimestamp,OFB:hasBlocksTimestamp,81.82,Represents the timestamp of when the message was sent.,Specifies when a user blocked another user.
