class,dataProperty,classComment,dataPropertyComment
PagesSettings,hasName,Represents configurable settings for a page.,The name of the page.
PagesSettings,hasDescription,Represents configurable settings for a page.,The description of the page.
PagesSettings,hasCategory,Represents configurable settings for a page.,The category of the page.
PagesSettings,hasContactInfo,Represents configurable settings for a page.,The contact information for the page.
PagesSettings,hasLocation,Represents configurable settings for a page.,The location of the page.
PagesSettings,hasHours,Represents configurable settings for a page.,The operating hours of the page.
PagesSettings,hasWebsite,Represents configurable settings for a page.,The website link associated with the page.
PagesSettings,hasUserRoles,Represents configurable settings for a page.,"The roles of users associated with the page (e.g., Admin, Moderator)."
PagesFeatures,hasEventCount,"Represents features such as events, posts, photos, and videos available on a page.",The number of events on the page.
PagesFeatures,hasPostCount,"Represents features such as events, posts, photos, and videos available on a page.",The number of posts on the page.
PagesFeatures,hasPhotoCount,"Represents features such as events, posts, photos, and videos available on a page.",The number of photos on the page.
PagesFeatures,hasVideoCount,"Represents features such as events, posts, photos, and videos available on a page.",The number of videos on the page.
PagesInsights,hasViewCount,"Represents insights like views, reach, and engagement for a page.",The total number of views on the page.
PagesInsights,hasPostReach,"Represents insights like views, reach, and engagement for a page.",The reach of posts on the page.
AccountSettings,hasGeneralSettings,"Handles general, privacy, security, and account management settings.",General settings for the user's account.
PrivacySettings,hasProfilePrivacySettings,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.",Settings for profile visibility and privacy.
PrivacySettings,hasProfilePrivacySettings,Privacy-related configurations for a user's account.,Settings for profile visibility and privacy.
PrivacySettings,hasActivityStatus,"Represents the privacy settings related to the user's account, including blocked accounts and story settings.","Activity status visibility (e.g., Online, Offline)."
PrivacySettings,hasActivityStatus,Privacy-related configurations for a user's account.,"Activity status visibility (e.g., Online, Offline)."
DataUsageSettings,hasCellularDataUsageSettings,Handles data usage configurations for cellular and WiFi connections.,Data usage settings for cellular connections.
DataUsageSettings,hasWiFiDataUsageSettings,Handles data usage configurations for cellular and WiFi connections.,Data usage settings for WiFi connections.
NotificationSettings,hasPushNotificationsStatus,"Handles configurations for notifications like push, email, and SMS.",Status of push notifications (enabled/disabled).
NotificationSettings,hasEmailNotificationsStatus,"Handles configurations for notifications like push, email, and SMS.",Status of email notifications (enabled/disabled).
NotificationSettings,hasSMSNotificationsStatus,"Handles configurations for notifications like push, email, and SMS.",Status of SMS notifications (enabled/disabled).
NotificationSettings,hasNotificationSoundsSettings,"Handles configurations for notifications like push, email, and SMS.",Settings for notification sounds.
DeviceManagement,hasAuthorizedDevices,Handles authorized devices associated with the user's account.,Authorized devices for the user's account.
HelpSupport,hasSupportAccessTimestamp,Represents support and help-related features for users.,Timestamp for accessing the support center.
HelpSupport,hasReportTimestamp,Represents support and help-related features for users.,Timestamp for submitting a problem report.
HelpSupport,hasInboxAccessTimestamp,Represents support and help-related features for users.,Timestamp for accessing the support inbox.
MetaVerified,hasPublicPresenceStatus,Handles verification and public presence-related features for users.,Indicates whether the user has a verified public presence.
OtherApps,hasConnectedAppStatus,Represents other Meta apps that can connect to the user's account.,Status indicating whether the app is connected to the user's account.
ActivityLog,hasActivityTimestamp,Represents a record of activities performed by a user.,Timestamp indicating when the activity was performed.
ActivityLog,hasActivityType,Represents a record of activities performed by a user.,"Type of activity performed, e.g., like, comment, tag, review."
Logout,hasLogoutTimestamp,Represents the action of a user logging out of the system.,Timestamp indicating when the logout occurred.
